Mass/Charge	Area	Height
161.0930412	7.513006582	561.6294606
161.1285833	0.126836604	13.42775833
162.0515192	0.144100535	12.15763856
162.0962638	0.917657839	87.89326206
163.0336982	0.179597774	16.48792342
163.0726245	0.26034746	23.79516018
163.108407	0.362261629	31.47754666
163.1451819	0.12991192	16.61030422
164.0883387	0.954866648	79.40016052
165.051535	1.252908323	103.7027275
165.0878649	0.431174412	38.59115722
166.0353344	1.988494543	170.7571825
166.0526003	0.155310129	21.29409261
166.5363444	0.247944142	25.37795943
166.9990261	1.499489014	121.772869
167.0316057	0.201068577	17.25515114
167.0653799	0.263760486	24.7984042
167.1030926	0.330608081	39.30138096
167.1393054	0.165150398	20.17174815
168.0034694	0.066314515	12.03200559
168.527101	4.446249939	293.5215763
168.5426491	1.299229901	112.1039968
168.8911147	0.129838543	17.45768887
