Mass/Charge	Height	Sum_Intensity_Above_50%
143.0793765	29.0510837	22.6720828
143.1162036	10.07293987	5.036469937
144.0765856	35.7890932	21.55087579
144.1127326	105.8199978	93.38791283
145.0961218	17.95785981	9.643868632
147.0767464	27.34085337	45.80578892
147.0955833	11.17762716	5.963012802
147.1122757	57.00403126	30.30253962
150.1118199	71.15721374	44.71936109
151.1204962	12.61772119	6.547375381
151.5569495	23.08487595	27.68602557
152.022308	7870.447287	10363.17616
153.0244492	372.1400703	373.0694601
153.0517296	15.98888559	9.508896217
153.0952536	23.45291911	11.72645955
154.025403	1574.160812	2275.978986
154.0583715	157.3185941	193.831545
155.0285071	62.23685697	74.0610589
155.1428032	17.37866678	9.261403584
156.0239404	101.2373421	70.96453745
156.0427765	99.21847646	85.07142701
156.0752886	26.18136055	24.93155792
157.0940524	11.55823726	5.779118632
159.0775972	10.65621144	8.865974378
160.0362462	405.805787	351.6132446
160.0748361	10.57538115	7.487785532
161.0378897	18.16406424	15.6377418
161.0928811	21.1881468	10.5940734
162.1123402	700.3507094	892.6687085
163.0198257	20.26478186	10.13239093
163.0340365	13.55527568	6.77763784
163.1152785	39.93188104	29.33157933
167.0808588	10.36885483	11.58954143
168.0649164	12.8424121	6.42120605
168.138342	11.18335543	5.591677716
169.0727513	19.99018953	20.41771204
169.12749	19.19152635	9.595763173
170.0325321	2055.34065	2606.169248
170.090435	24.02336479	12.01168239
171.0345403	79.63372951	101.8565883
172.0302489	154.7018157	133.8469728
173.0920727	1340.003282	1680.781293
174.0960245	79.68551387	129.0438763
174.112709	17.28602016	23.14129838
174.1290631	10.49775564	5.248877821
174.1548953	12.84287982	6.421439911
176.0108897	3264.215699	4406.805501
176.0477755	13.97320997	13.44709516
177.0143057	191.4160064	141.8102553
177.0658663	9.923494637	4.961747318
177.1112938	13.4550689	6.727534448
177.1602764	9.601555495	4.800777747
178.0083429	243.9716808	252.5974174
178.0572645	13.4098065	6.704903251
179.014026	12.51066421	6.792332033
180.1342711	14.34104336	14.16272048
180.1639389	11.21696782	5.608483911
181.1613104	10.22837428	5.114187139
186.149846	17.95061625	8.975308125
186.8271901	14.77438655	7.864491419
187.0010422	9.953624132	7.116314179
187.0822794	214.0460132	306.7346395
187.1268518	19.60661448	9.803307241
187.1558291	43.95010826	28.44673009
188.0673732	15.25897984	9.623872078
188.1637818	13.9840303	6.992015152
188.8265537	15.85188166	8.817520022
189.1343804	53.71096477	38.71946353
189.1602912	19.74298632	18.77797152
189.5363061	25.95965948	70.52073601
189.990274	9.705027742	7.411308522
190.1194702	9106.400367	11646.00363
190.8197705	10.81487109	5.407435546
191.1217191	681.0644268	816.0345755
191.982476	690.8401671	983.8591396
192.0133651	33.96895917	32.68997008
192.1234761	77.54713697	95.18903186
192.5764171	21.11277715	13.90234037
192.9848617	15.41856651	15.20149426
193.0708656	15.46295326	7.910517781
193.0935305	20.15191647	10.07595824
193.9801055	90.77833487	78.66359353
194.9824676	10.4356459	6.730541935
195.1004291	9.57965423	7.195253353
195.1406094	13.84794336	6.923971679
196.0920367	23.33509321	11.66754661
199.1441512	19.17525468	9.587627339
199.2126263	14.01731239	7.008656193
200.0220022	48.66434446	66.18216837
200.0678367	39.60246209	36.56423049
200.1032702	16.69796608	16.74389671
201.0174175	19.55579444	9.777897218
201.0284887	10.57270271	5.286351354
202.0813289	33.22960261	44.18878897
202.145071	13.54847743	7.842227659
203.1425552	9.674612527	4.837306264
203.1845756	10.89409186	5.447045929
204.0454773	11.44725667	7.249093355
205.1954967	15.12846754	8.405826704
207.1550449	11.45200818	5.726004091
207.9883545	149.4733423	214.2787442
208.9891158	12.45682392	6.228411962
209.063791	12.84274933	9.641788218
209.1388979	12.99326345	16.19792775
209.9845302	22.80377406	21.59304448
210.0964768	12.13852823	11.43794115
210.1522407	11.05924449	9.27312753
211.9831701	18.7185412	15.63597374
212.1003644	427.1273693	456.6770918
213.10642	20.58150781	10.2907539
213.132586	20.01135598	12.26048833
213.9827625	10.26706147	5.270759577
215.0320703	11.33828997	5.669144987
215.1384634	15.20733811	29.73014469
215.1519513	22.16022814	11.08011407
215.9956192	16.32649548	18.07350769
216.0872893	11.70555414	5.852777069
216.1947461	19.51782151	9.758910755
217.1780507	18.35868268	9.17934134
217.2152025	22.10139458	11.8011006
218.1571003	11.83290532	6.721828224
219.1761837	9.717897995	6.121792903
220.1826406	72.75525658	36.37762829
221.1163483	21.16419198	10.58209599
221.1527502	15.41391391	7.706956954
221.1765277	10.82890403	7.073956519
224.0544859	12.55541367	8.428579265
225.03799	217.9643488	224.4685099
225.9548686	15.25401484	18.42999918
226.0433272	16.77803649	20.38354195
226.4269405	23.26684619	18.71988545
227.0369816	19.52555546	16.09085567
227.125604	4483.104981	6174.421558
227.2068465	10.12833962	5.253027227
227.373422	16.71693166	18.30727975
227.9569474	25.55745459	19.07138914
228.0751515	5489.655143	7610.257326
228.1277977	506.2869792	552.1386754
229.0774368	416.980901	677.0956872
229.1303799	564.534092	514.9275521
229.1530655	78.35038737	42.16808949
229.9540793	11.01977529	5.509887647
230.0733772	437.7932133	553.481471
230.1328206	68.77342378	43.73157013
231.0763184	21.96048726	11.5250591
231.134086	557.0751798	698.1335316
231.1755142	12.75412669	6.377063344
232.0873833	10.38983919	28.73589936
232.1355761	71.33781977	46.90935756
233.1499263	14.32227346	7.707146695
233.1745196	12.82757504	11.84104239
233.4097207	12.15588386	6.077941928
234.0775748	12.69728328	12.79212091
235.2201758	11.15079422	8.285793074
235.2421469	16.84255269	12.94575148
237.9787857	11.90879881	12.94742591
238.0344961	9.72295388	4.86147694
238.0698605	34.57343173	18.66175509
239.1809576	15.40142232	7.700711161
240.0366284	31.81218084	30.2990341
241.1295628	96.41441568	170.2048595
242.131773	13.5334518	6.846066278
243.0658157	22.45736866	22.72191538
243.9646953	21.24952922	32.94982983
245.1359117	183.0604531	296.5647336
245.9636304	10.98251901	10.83857288
246.1373678	14.45743115	17.26647549
247.0197343	13.73039956	6.86519978
249.1070104	576.3932858	699.9163012
249.1561623	64.80851103	88.17700211
249.9412609	41.41188838	47.87372012
250.0569293	149.0130894	142.0632637
250.1104258	69.8047978	64.2691708
250.128433	20.89694608	10.44847304
251.113362	186.64463	197.0174
251.1624854	14.38437574	7.192187868
251.936367	10.87942109	10.86995211
252.1164898	19.46480679	17.45672005
253.116786	14.46159135	10.51018329
254.1492034	24.54047822	17.23748597
255.110411	10.97440505	5.487202527
255.1250908	22.23415616	11.11707808
255.1481709	10.67025124	5.33512562
255.2101361	9.785276544	4.892638272
256.1964807	10.48316387	5.241581937
257.1786393	14.3036962	7.151848099
258.0900702	10.06276789	11.08849493
258.1094505	58.50185654	74.71045749
260.0819439	13.27602759	14.7353179
260.7602473	9.744127577	6.553966998
262.0368217	14.23545997	11.93419695
262.2787572	12.40679576	8.596579579
262.7546903	12.18881181	6.094405907
263.1461766	456.8691924	338.9877307
264.1068326	13.26934234	8.361727562
264.1491724	25.44479738	28.23848677
265.0808149	826.0723925	1071.584324
265.1760686	14.8570781	7.428539052
265.9148802	80.15165899	89.65137537
265.9425599	9.680219791	4.840109895
266.0307059	620.4436941	750.3840314
266.082843	87.73242537	65.63196597
267.0323777	37.58329436	57.25840433
267.0785559	58.7375884	67.89184415
267.1183227	34.19550844	33.20040596
267.912227	50.16424292	41.59761197
268.0289893	70.66065387	80.01563698
268.080426	10.5059982	5.2529991
268.191383	20.18535771	10.09267885
269.0872195	37.84682502	59.91642749
269.1251771	197.9854713	197.3720086
270.0295716	9.514333157	13.80275022
270.1271803	20.97510936	21.69235829
270.1799527	10.1535414	5.076770699
271.1366317	11.99579089	5.997895446
271.2977213	14.45645827	7.228229133
273.0959529	64.72619653	68.51230522
274.0717155	22.68592348	28.14979474
274.0932528	195.2315787	250.5093904
274.1183353	225.2411329	265.8231107
274.2395864	9.610712267	6.765528058
275.1001915	109.0513669	99.20908438
275.2551156	17.78223034	8.891115171
275.9439762	14.40009818	7.200049092
275.9705092	11.04741218	5.523706092
277.1817489	11.88300353	5.941501765
278.079003	9.688324154	10.01783636
279.0847502	13.85875851	6.929379256
281.9205269	21.55568719	31.90041617
282.0414295	20.20077701	25.5812474
282.2300245	10.89962124	5.449810619
283.0921364	16.34449724	11.07364858
283.9179031	13.80400519	9.898132531
284.1192466	9.659753149	6.651617922
285.2811893	12.9471744	6.473587199
287.0955418	10.4119888	5.2059944
289.0709242	24.47758279	12.2387914
290.0441039	12.31204904	7.474091108
290.0653484	11.53942774	8.337147633
291.071901	40.62132152	20.31066076
291.1083965	15.36969719	7.684848597
292.0706534	49.94173751	67.50557837
292.1029541	288.9009514	454.3375838
293.1054373	41.85627285	32.64909817
294.2032562	13.35134038	7.724451952
296.0645966	19.02125367	14.28904922
297.0847282	28.11211655	30.92303963
297.169579	13.64336099	6.821680496
298.174068	11.56554594	11.24990003
300.1299296	30.91661689	15.45830844
301.1071793	17.88866083	8.944330415
301.8919228	14.77272274	19.49610785
303.8899606	11.67720985	13.07390125
306.1248914	10.4093282	7.545785507
306.2275608	14.4270122	13.98586595
307.0452486	22.18760423	37.94506501
308.1497993	13.22270198	11.92106819
309.1548362	10.25406393	6.354774248
310.1137614	1273.583379	1815.411256
311.1159974	135.1695836	196.7377595
312.026042	16.97916615	20.28948146
312.1170305	21.66927225	41.93987859
312.1904804	14.32379102	7.16189551
313.0580643	50.25014423	90.58565358
313.1268717	12.67926171	9.673853349
314.0612424	10.09297821	13.05128816
314.1501269	41.44113706	20.72056853
315.0842552	11.71679461	11.3086182
319.9977476	14.91945719	16.40374019
320.1122905	32.0684425	40.82481026
321.1932659	15.42267012	14.79247171
321.9388322	13.50486854	12.73784092
323.0116826	10.73062995	11.66307737
323.0453607	11.49870593	10.83410007
323.9905623	13.88881598	12.79157636
325.9898545	10.83905598	9.400431958
327.1470944	22.70161504	11.81081216
327.1699919	17.94125453	8.970627265
328.1305342	14.53612943	18.59548056
329.0385265	10.5478651	10.49485545
329.1531136	9.761843539	4.880921769
330.0306023	16.15661271	8.078306357
330.1648413	47.41330835	25.14972818
332.0967787	30.10882406	44.50342312
332.1701173	123.4909737	63.97610309
333.0132465	15.21735478	7.608677392
333.1718128	15.97270392	19.20650188
334.6914465	10.61253945	5.306269725
335.202194	13.35290848	6.676454242
339.0129498	9.973034588	12.37598817
339.0546938	17.3495257	24.93398398
339.8465456	14.14367715	16.14416054
339.9633467	37.23562612	43.35600062
341.9613996	19.94039766	13.64206333
343.0188351	20.44130475	18.69909752
344.1045275	13.29963697	6.649818487
345.0020951	25.37775417	37.2669619
348.0693545	437.9388675	504.3288644
349.0726277	46.39431477	31.51866861
349.9871714	9.583732469	4.791866235
350.06921	21.98876182	32.93799548
357.978629	11.22511236	5.612556179
358.9841179	10.22695204	12.19347541
359.0217277	10.1950568	5.360743048
361.1274874	22.28838753	36.20476609
362.1642867	11.27362033	6.511695701
368.1170028	15.45207911	7.726039555
370.0475373	18.61884173	9.309420864
379.2298302	52.21670446	82.97495122
380.9744672	13.43463197	12.37915276
382.1394625	14.20009783	21.78606632
384.1439478	85.92311255	80.80402544
386.0254097	56.66739247	105.218518
386.1574154	10.570869	10.63332112
388.0244644	11.82759583	21.64073222
389.348765	22.38793346	11.19396673
392.2195007	15.69315254	14.84002196
394.2222412	34.88282881	65.89314083
396.9403944	10.07258292	6.507193523
401.2116431	21.10144176	12.38624649
406.1267058	10.56659741	14.37782836
408.1124129	19.44726983	47.99330775
417.1849142	12.79146272	13.86752086
422.10233	19.45783607	40.52810993
424.1170274	15.68545957	14.20628972
425.1765772	18.88298332	9.827766034
430.0765683	14.39139206	12.92751452
432.8940619	10.76392438	5.381962188
436.0674012	19.71011222	18.00226769
437.0658599	12.52915234	17.10291376
438.0722153	30.99661082	36.16186748
440.0674095	55.85046529	40.36415112
442.0700939	154.4497143	267.0517757
443.0766724	18.26641419	18.11075783
444.0673006	140.5128037	192.6721223
445.0720039	17.46968176	27.71500423
446.0649488	36.7766981	36.38619438
455.1395021	11.64066712	11.26147185
458.0751256	13.60419081	14.52531268
462.1469714	9.805407606	4.902703803
486.3758604	10.15959526	6.008554258
499.2072817	29.95683939	24.99919181
537.165174	13.35078497	20.9462885
611.1823839	14.70814482	7.354072411
758.2323296	13.43294863	10.363905
759.2304277	12.42564412	7.973275443
