mz	rt	Inten
428.2277	9.96	45.3
429.1584	6.09	97.2
430.1714	6.26	20965.3
430.9742	0.71	80.8
431.0815	11.58	24.4
431.1752	6.26	5756.7
432.1763	6.26	1221.0
432.1869	5.16	2325.7
433.0047	8.97	91.6
433.1907	5.18	655.7
434.1922	5.18	116.0
435.1263	6.26	2158.1
436.1291	6.26	379.2
437.0855	0.73	149.6
437.1184	6.95	20.7
437.1207	6.18	776.3
437.1424	5.18	519.0
437.2371	6.57	70.3
437.9723	0.99	93.7
438.1253	6.18	90.3
438.1967	6.03	50.8
439.2725	9.27	28.1
441.0964	0.84	17.3
442.2793	7.49	15.1
443.0876	5.29	38.3
443.1282	6.22	25.7
443.1291	6.98	87.7
443.2292	5.85	29.7
443.2554	17.98	9.2
444.0697	5.21	13.7
446.9578	0.73	22.8
451.0993	6.29	31.3
453.1143	5.18	46.9
454.2177	8.32	74.2
455.3249	16.59	13.8
457.1076	6.48	38.4
459.1567	7.91	29.8
461.1808	0.86	15.4
463.2687	8.51	98.2
464.1424	0.86	37.3
465.1724	8.08	28.2
471.1624	3.82	10.6
479.2148	11.56	214.6
480.2183	11.58	65.4
480.7603	0.76	41.4
481.2413	7.93	14.1
481.3126	16.07	13.7
484.279	7.69	44.4
485.093	8.86	37.1
489.2231	7.8	891.8
489.2235	0.84	16.6
490.2262	7.82	287.1
490.917	0.76	10.4
490.9628	0.76	74.6
492.1624	6.09	25.5
495.1883	11.56	34.5
497.0162	0.75	39.7
497.111	11.58	62.7
498.1147	11.58	9.9
499.2898	8.51	65.1
505.1944	7.82	112.7
508.2468	4.97	388.0
508.8528	0.71	43.7
508.9905	9.03	14.0
509.2482	4.95	77.6
511.2046	7.84	196.4
514.3007	9.64	98.2
515.0065	9.42	45.3
515.2848	6.42	35.1
515.304	9.72	18.9
517.1808	7.65	2462.5
517.299	7.99	62.3
518.1856	7.63	690.9
519.0886	0.73	211.8
519.1848	7.65	145.5
519.2554	9.64	37.8
521.2717	8.51	77.9
530.2353	5.62	121.7
530.8988	0.73	70.6
533.1542	7.65	301.5
533.2952	6.7	138.8
534.2989	6.7	32.1
535.2506	8.1	57.1
535.274	5.59	1515.7
535.3128	6.83	41.7
539.2811	7.99	33.2
545.2364	5.9	23.3
549.2824	6.95	42.8
555.2781	6.41	57.9
561.2175	11.58	73.5
561.2175	6.55	19.7
562.2214	11.56	20.9
562.2488	8.08	3078.8
562.2497	9.07	1098.4
562.7801	0.75	20.7
563.2526	8.08	1026.5
563.2528	9.07	285.8
564.2543	9.07	42.0
564.2544	8.08	234.7
564.3379	7.21	24.8
565.2558	8.08	36.3
567.2041	8.08	482.1
567.2042	9.07	138.5
568.2076	8.08	124.3
568.2082	9.07	24.0
568.263	5.57	426.9
568.3323	5.81	19.5
576.2287	8.49	108.2
576.3019	6.91	43.3
578.2433	5.62	25.1
578.2447	6.55	97.8
579.1142	11.56	31.8
589.1862	8.08	76.2
592.9887	0.71	128.8
598.8536	0.75	20.6
599.3711	5.53	70.4
600.723	0.76	22.6
601.9076	0.73	18.0
602.4881	17.7	51.3
604.4024	16.14	7.1
606.7991	0.71	46.9
608.8457	0.75	9.7
608.882	0.71	49.0
609.8488	0.73	9.7
611.5772	17.22	7.8
620.8737	0.73	24.3
620.9178	0.73	36.4
621.2331	6.31	165.4
623.8775	0.73	20.8
631.1467	6.31	35.2
632.2746	6.27	151.5
632.9575	0.73	16.5
633.0377	0.73	36.9
639.8483	0.73	12.7
640.9824	0.69	22.0
643.2203	11.56	26.6
647.3222	6.63	175.9
648.3247	6.63	17.1
